,Missing Count,Percentage (%)
glucose,388,9.150943396226415
education,105,2.4764150943396226
BPMeds,53,1.25
totChol,50,1.179245283018868
cigsPerDay,29,0.6839622641509434
BMI,19,0.4481132075471698
heartRate,1,0.02358490566037736
